Data Type;DID;SDID;Status;Used Where;Application;Last Modified Time
1;F0h;;In Force;S315;Camera position (HANC or VANC space);2010-07-11 14:26:49
1;F4h;;In Force;RP165;Error Detection and Handling (HANC space);2010-07-11 14:26:49
1;F8h;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;F9h;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;Fah;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;FBh;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;FCh;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;FDh;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;FEh;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
1;FFh;;In Force;S272;Audio Data in HANC space (SDTV);2010-07-11 14:26:49
