Type;Registry Designator;Item Designator;Ver;Reference Name;Description;Standard(s);;Deprecated
Nrm;Normative;Normative;Nrm;Normative;Normative;Normative;Notes;Nrm
Node or Leaf;Note: Byte 8 is the version number of the registry at the point of Label registration;;;;;(where applicable);;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.01;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.02;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.03;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.05;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.06;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomSplice-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.07;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomClosedGOP-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomClosedGOP-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.08;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomSlave-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomSlave-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.61.7F;0A;MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomUnconstrained-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-1 SID CustomUnconstrained-wrapped;SMPTE RP 2008;;
Node;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.00;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 ;;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.01;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID Frame-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID Frame-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.02;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID Clip-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID Clip-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.03;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomStripe-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomStripe-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.05;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomFixedAudioSize-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomFixedAudioSize-wrapped;SMPTE RP 2008;;
Leaf;06.0E.2B.34.04.01.01.0A;0D.01.03.01.02.10.62.06;0A;MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomSplice-wrapped;Identifier for a MXF-GC  AVC Byte Stream With VideoStream-2 SID CustomSplice-wrapped;SMPTE RP 2008;;
