Type;Registry Designator;Item Designator;Ver;Reference Name;Description;Standard(s);;Deprecated
Nrm;Normative;Normative;Nrm;Normative;Normative;Normative;Notes;Nrm
Node or Leaf;Note: Byte 8 is the version number of the registry at the point of Label registration;;;;;(where applicable);;
Node;06.0E.2B.34.04.01.01.01;00.00.00.00.00.00.00.00;01;SMPTE LABELS;Register of SMPTE Labels;SMPTE ST 400;;
Node;06.0E.2B.34.04.01.01.01;01.00.00.00.00.00.00.00;01;IDENTIFICATION AND LOCATION;SMPTE Label Identifiers for Identification and Location data;;;
Node;06.0E.2B.34.04.01.01.01;01.01.00.00.00.00.00.00;01;Globally Unique Identifiers;Identifies Globally Unique Identifiers;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.00.00.00.00.00;01;SDTI Payload Identifiers;Legacy label used by SDTI systems;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.01.00.00.00.00;01;SDTI-CP Identifiers;Legacy label used by SDTI-CP;;;
Node;06.0E.2B.34.04.01.01.01;01.01.01.01.01.00.00.00;01;SDTI-CP MPEG Payloads;Legacy label used by SDTI-CP MPEG Payloads;;;
Leaf;06.0E.2B.34.04.01.01.01;01.01.01.01.01.01.00.00;01;SDTI-CP MPEG-2 Baseline Template;Legacy label used by SDTI-CP for MPEG-2 payloads;SMPTE RP 204;;
Leaf;06.0E.2B.34.04.01.01.01;01.01.01.01.01.01.01.00;01;SDTI-CP MPEG-2 Extended Template;Legacy label used by SDTI-CP for MPEG-2 payloads with extensions to the baseline specification;SMPTE RP 204;;
Node;06.0E.2B.34.04.01.01.0A;01.01.02.00.00.00.00.00;0A;File Format Identifiers;Labels for File Format Identifiers;;;
Node;06.0E.2B.34.04.01.01.0A;01.01.02.01.00.00.00.00;0A;File Format Identifiers Unstructured Node;Labels for File Format Identifiers Unstructured Node;;;
Leaf;06.0E.2B.34.04.01.01.0A;01.01.02.01.01.00.00.00;0A;Unknown File Format;Identifies Unknown File Format;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.00.00.00.00.00;0C;Definition Identifiers;Identifies Definition Identifiers;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.01.00.00.00.00;0C;Reg-XML Definition Identifiers;Identifies Reg-XML Definition Identifiers;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.01.01.00.00.00;0C;Reg-XML Meta-Dictionary Identifiers;Identifies Reg-XML Meta-Dictionary Identifiers;;;
Node;06.0E.2B.34.04.01.01.0C;01.01.03.01.01.01.00.00;0C;Reg-XML Baseline Meta-Dictionary Identifiers;Identifies Reg-XML Baseline Meta-Dictionary Identifiers;;;
Leaf;06.0E.2B.34.04.01.01.0C;01.01.03.01.01.01.01.00;0C;Reg-XML ST xxx--2 Meta-Dictionary Baseline;Identifies Reg-XML ST xxx--2 Meta-Dictionary Baseline;;;
Node;06.0E.2B.34.04.01.01.01;01.02.00.00.00.00.00.00;01;Globally Unique Locators;SMPTE identifiers for Globally Unique Locators;;;
Node;06.0E.2B.34.04.01.01.01;01.03.00.00.00.00.00.00;01;Locally Unique Identifiers;SMPTE Label identifiers for Locally Unique Identifiers;;;
Node;06.0E.2B.34.04.01.01.01;01.03.01.00.00.00.00.00;01;For Information Only Do Not Use;SMPTE Label identifiers for For Information Only Do Not Use;;;
Node;06.0E.2B.34.04.01.01.01;01.03.02.00.00.00.00.00;01;Track Identifiers;SMPTE Label identifiers for Track Identifiers;;;
Node;06.0E.2B.34.04.01.01.01;01.03.02.01.00.00.00.00;01;Metadata Track Kinds;Identifies metadata track kinds;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.01.01.00.00.00;01;SMPTE-12M Timecode Track Inactive User Bits;Identifies a SMPTE 12M Timecode track with inactive user bits;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.01.02.00.00.00;01;SMPTE-12M Timecode Track Active User Bits;Identifies a SMPTE 12M Timecode track with active user bits;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.01.03.00.00.00;01;SMPTE-309M Timecode Track Datecode User Bits;Identifies a SMPTE 309M Timecode track (user bits define date code);;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.01.10.00.00.00;01;Descriptive Metadata Track;Identifies a Descriptive Metadata Track;;;
Node;06.0E.2B.34.04.01.01.01;01.03.02.02.00.00.00.00;01;Essence Track Kinds;Identifies essence track kinds;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.02.01.00.00.00;01;Picture Essence Track;Identifies a picture essence track;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.02.02.00.00.00;01;Sound Essence Track;Identifies a sound essence track;;;
Leaf;06.0E.2B.34.04.01.01.01;01.03.02.02.03.00.00.00;01;Data Essence Track;Identifies a data essence track;;;
Node;06.0E.2B.34.04.01.01.01;01.03.02.03.00.00.00.00;01;Other Track Kinds;Identifies non-essence and non-metadata track kinds;;;
Leaf;06.0E.2B.34.04.01.01.05;01.03.02.03.01.00.00.00;05;Auxiliary Data Track;Identifies a track containing auxiliary data that is neither essence nor metadata (for example, icon images);;;
Leaf;06.0E.2B.34.04.01.01.07;01.03.02.03.02.00.00.00;07;Parsed Text Track;Identifies a track containing parsed text (for example, XML code);;;
Node;06.0E.2B.34.04.01.01.01;02.00.00.00.00.00.00.00;01;ADMINISTRATIVE;SMPTE Label identifiers for Administrative data;;;
Node;06.0E.2B.34.04.01.01.07;02.09.00.00.00.00.00.00;07;Encryption Identifiers;Identifies encryption parameters;;;
Node;06.0E.2B.34.04.01.01.07;02.09.02.00.00.00.00.00;07;Data Encryption Identifiers;Identifies data encryption parameters;;;
Node;06.0E.2B.34.04.01.01.07;02.09.02.01.00.00.00.00;07;Data Encryption Algorithm Identifiers;Identifies data encryption algorithms;;;
Leaf;06.0E.2B.34.04.01.01.07;02.09.02.01.01.00.00.00;07;AES-128 CBC Identifier;Identifies AES 128-bit encryption in Cypher Block Chaining mode;;;
Node;06.0E.2B.34.04.01.01.07;02.09.02.02.00.00.00.00;07;Data Hashing Algorithms;Identifies data hashing algorithms;;;
Leaf;06.0E.2B.34.04.01.01.07;02.09.02.02.01.00.00.00;07;HMAC-SHA1 128-bit Identifier;Identifies the HMAC-SHA1 128-bit data integrity check value;;;
Leaf;06.0E.2B.34.04.01.01.08;02.09.02.02.02.00.00.00;08;HMAC-SHA1 128;Identifies the HMAC-SHA1 128 bit data integrity check value;;;Deprecated
Node;06.0E.2B.34.04.01.01.01;03.00.00.00.00.00.00.00;01;INTERPRETIVE;SMPTE Label identifiers for Interpretive Data;;;
Node;06.0E.2B.34.04.01.01.01;04.00.00.00.00.00.00.00;01;PARAMETRIC;SMPTE Label identifiers for Parametric Data;;;
Node;06.0E.2B.34.04.01.01.01;04.01.00.00.00.00.00.00;01;Picture Essence;SMPTE Label identifiers for picture essence parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.01.01.00.00.00.00.00;01;Fundamental Picture Characteristics;Identifies fundamental picture essence parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.01.01.01.00.00.00.00;01;Picture Source Characteristics;Identifies picture source parameters;;;
Node;06.0E.2B.34.04.01.01.01;04.01.01.01.01.00.00.00;01;Transfer Characteristic;Identifies transfer characteristics;;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.01.01.00.00;01;ITU-R BT470 Transfer Characteristic;Identifies ITU-R BT.470 PAL transfer characteristic (note: used in B, D, G, H, I, M, N/PAL and B, D, G, H, K, K1, L/SECAM systems);ITU-R BT.470;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.01.02.00.00;01;ITU-R BT709 Transfer Characteristic;Identifies ITU-R BT.709 transfer characteristic (also used in SMPTE 170M, 274M and 296M);ITU-R BT.709;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.01.03.00.00;01;SMPTE 240M Transfer Characteristic;Identifies SMPTE 240M transfer characteristic (note: legacy use only);SMPTE ST 240;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.01.04.00.00;01;SMPTE 274/296M Gamma;Identifies gamma according to SMPTE 274M and 296M (deprecated);SMPTE 274M & 296M;;Deprecated
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.01.05.00.00;06;ITU-R.BT1361 Transfer Characteristic;Identifies ITU-R BT.1361 transfer characterisitic;ITU-R BT.1361;;
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.01.06.00.00;06;Linear Transfer Characteristic;Identifies a linear transfer characteristic;;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.01.01.01.07.00.00;08;SMPTE-DC28 DCDM Transfer Characteristic;Identifies the SMPTE DC28 DCDM transfer characteristic;SMPTE ST 428-1;;
Node;06.0E.2B.34.04.01.01.01;04.01.01.01.02.00.00.00;01;Coding Equations;Identifies the coding equation type;;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.02.01.00.00;01;ITU-R BT601 Coding Equations;Identifies ITU BT-601 Coding Equations;ITU-R BT-601;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.01.01.02.02.00.00;01;ITU-R BT709 Coding Equations;Identifies ITU BT-709 Coding Equations;ITU-R BT-709;;
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.02.03.00.00;06;SMPTE 240M Coding Equations;Identifies SMPTE 240M coding equations (note: legacy use only);SMPTE ST 240;;
Node;06.0E.2B.34.04.01.01.06;04.01.01.01.03.00.00.00;06;Color Primaries;Identifies the color primaries type;;;
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.03.01.00.00;06;SMPTE-170M Color Primaries;Identifies SMPTE 170M color primaries and white point;SMPTE ST 170;;
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.03.02.00.00;06;ITU-R.BT470 Color Primaries;Identifies ITU-R BT.470 PAL color primaries and white point (note: used in B, D, G, H, I, N/PAL and B, D, G, H, K, K1, L/SECAM systems);ITU-R BT.470;;
Leaf;06.0E.2B.34.04.01.01.06;04.01.01.01.03.03.00.00;06;ITU-R.BT709 Color Primaries;Identifies ITU-R BT.709 color primaries and white point;ITU-R BT.709;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.00.00.00.00.00;01;Picture Coding Characteristics;Identifies Picture Coding Characteristics;;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.01.00.00.00.00;01;Uncompressed Picture Coding;Identifies Uncompressed Picture Coding;;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.01.01.01;0A;Uncompressed Picture Coding Interleaved 444 CbYCr 8-bit;Identifies Uncompressed Picture Coding Interleaved 444 CbYCr 8-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.01.01;0A;Uncompressed Picture Coding Interleaved 422 CbYCrY 8-bit;Identifies Uncompressed Picture Coding Interleaved 422 CbYCrY 8-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.01.02;0A;Uncompressed Picture Coding Interleaved 422 YCbYCr 8-bit;Identifies Uncompressed Picture Coding Interleaved 422 YCbYCr 8-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.01.03;0A;Uncompressed Picture Coding Planar 422 YCbCr 8-bit;Identifies Uncompressed Picture Coding Planar 422 YCbCr 8-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.02.01;0A;Uncompressed Picture Coding Interleaved 422 CbYCrY 10-bit;Identifies Uncompressed Picture Coding Interleaved 422 CbYCrY 10-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.02.02;0A;Uncompressed Picture Coding Planar 422 CbYCrY 10-bit;Identifies Uncompressed Picture Coding Planar 422 CbYCrY 10-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.03.01;0A;Uncompressed Picture Coding Interleaved 422 CbYCrY 12-bit;Identifies Uncompressed Picture Coding Interleaved 422 CbYCrY 12-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.02.04.01;0A;Uncompressed Picture Coding Interleaved 422 CbYCrY 16-bit;Identifies Uncompressed Picture Coding Interleaved 422 CbYCrY 16-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.0A;04.01.02.01.01.03.01.02;0A;Uncompressed Picture Coding Planar 420 YCbCr 8-bit;Identifies Uncompressed Picture Coding Planar 420 YCbCr 8-bit;SMPTE ST 377-1;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.01.7F.00.00.00;01;Undefined Uncompressed Picture Coding;Identifies uncompressed pictures with no defined source coding standard;;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.02.00.00.00.00;01;Compressed Picture Coding;Identifies Compressed Picture Coding;;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.02.01.00.00.00;01;MPEG Compression;Identifies MPEG Compressed Picture Coding;;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.02.01.01.00.00;01;MPEG-2 MP-ML;Identifies MPEG-2 MP@ML coding;;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.01.10.00;03;MPEG-2 MP-ML I-Frame;Identifies MPEG-2 MP-ML I-Frame coding;ISO 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.01.11.00;03;MPEG-2 MP-ML Long GOP;Identifies MPEG-2 MP-ML Long GOP coding;ISO 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.01.12.00;03;MPEG-2 MP-ML No I-Frames;Identifies MPEG-2 MP-ML No I-Frames coding;ISO 13818-2;;
Node;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.00;08;MPEG-2 MP-ML IEC-HDV Constrained;Identifies MPEG-2 MP@ML, IEC HDV Constrained coding;;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.01;08;MPEG-2 HDV MP-ML 480x720 29.97P 4x3;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 29.97P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.02;08;MPEG-2 HDV MP-ML 480x720 29.97P 16x9;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 29.97P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.04;08;MPEG-2 HDV MP-ML 480x720 59.94I 4x3;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94I frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.05;08;MPEG-2 HDV MP-ML 480x720 59.94I 16x9;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94I frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.06;08;MPEG-2 HDV MP-ML 480x720 59.94P 4x3;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.07;08;MPEG-2 HDV MP-ML 480x720 59.94P 16x9;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.11;08;MPEG-2 HDV MP-ML 576x720 25P 4x3;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 25P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.12;08;MPEG-2 HDV MP-ML 576x720 25P 16x9;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 25P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.14;08;MPEG-2 HDV MP-ML 576x720 50I 4x3;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50I frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.15;08;MPEG-2 HDV MP-ML 576x720 50I 16x9;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50I frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.16;08;MPEG-2 HDV MP-ML 576x720 50P 4x3;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.01.20.17;08;MPEG-2 HDV MP-ML 576x720 50P 16x9;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Node;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.00.00;01;MPEG-2 422P-ML;Identifies MPEG-2 422P@ML coding;;;
Node;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.00;01;SMPTE D-10 MPEG-2 422P-ML;Identifies SMPTE Type-D10 MPEG-2 constrained 422P@ML;;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.01;01;SMPTE D-10 50Mbps 625x50I;Identifies SMPTE D-10 at a bit rate of 50Mbps for 625x50I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.02;01;SMPTE D-10 50Mbps 525x59.94I;Identifies SMPTE D-10 at a bit rate of 50Mbps for 525x59.94I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.03;01;SMPTE D-10 40Mbps 625x50I;Identifies SMPTE D-10 at a bit rate of 40Mbps for 625x50I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.04;01;SMPTE D-10 40Mbps 525x59.94I;Identifies SMPTE D-10 at a bit rate of 40Mbps for 525x59.94I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.05;01;SMPTE D-10 30Mbps 625x50I;Identifies SMPTE D-10 at a bit rate of 30Mbps for 625x50I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.01;04.01.02.02.01.02.01.06;01;SMPTE D-10 30Mbps 525x59.94I;Identifies SMPTE D-10 at a bit rate of 30Mbps for 525x59.94I scanning;SMPTE ST 356;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.02.02.00;03;MPEG-2 422P-ML I-Frame;Identifies MPEG-2 422P-ML I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.02.03.00;03;MPEG-2 422P-ML Long GOP;Identifies MPEG-2 422P-ML Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.02.04.00;03;MPEG-2 422P-ML No I-Frames;Identifies MPEG-2 422P-ML No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.03;04.01.02.02.01.03.00.00;03;MPEG-2 MP-HL;Identifies MPEG-2 MP@HL coding;;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.03.02.00;03;MPEG-2 MP-HL I-Frame;Identifies MPEG-2 MP-HL I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.03.03.00;03;MPEG-2 MP-HL Long GOP;Identifies MPEG-2 MP-HL Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.03.04.00;03;MPEG-2 MP-HL No I-Frames;Identifies MPEG-2 MP-HL No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.08;04.01.02.02.01.03.20.00;08;MPEG-2 MP-HL IEC-HDV Constrained;Identifies MPEG-2 MP@HL IEC HDV Constrained;;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.03.20.01;08;MPEG-2 HDV 720x1280 59.94P 16x9;Identifies MPEG-2 HDV constrained 720x1280 scanning, 59.94P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.03.20.08;08;MPEG-2 HDV 720x1280 50P 16x9;Identifies MPEG-2 HDV constrained 720x1280 scanning, 50P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Node;06.0E.2B.34.04.01.01.03;04.01.02.02.01.04.00.00;03;MPEG-2 422P-HL;Identifies MPEG-2 422P@HL coding;;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.04.02.00;03;MPEG-2 422P-HL I-Frame;Identifies MPEG-2 422P-HL I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.04.03.00;03;MPEG-2 422P-HL Long GOP;Identifies MPEG-2 422P-HL Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.03;04.01.02.02.01.04.04.00;03;MPEG-2 422P-HL No I-Frames;Identifies MPEG-2 422P-HL No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.00.00;08;MPEG-2 MP-H14;Identifies MPEG-2 MP@H-1440 coding;;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.02.00;08;MPEG-2 MP-H14 I-Frame;Identifies MPEG-2 MP-H14 I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.03.00;08;MPEG-2 MP-H14 Long GOP;Identifies MPEG-2 MP-H14 Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.04.00;08;MPEG-2 MP-H14 No I-Frames;Identifies MPEG-2 MP-H14 No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.00;08;MPEG-2 MP-H14 IEC-HDV Constrained;Identifies MPEG-2 MP@H-1440 IEC HDV Constrained;;;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.01;08;MPEG-2 HDV MP-H14 480x720 59.94P 4x3;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.02;08;MPEG-2 HDV MP-H14 480x720 59.94P 16x9;Identifies MPEG-2 coded, HDV constrained 480x720 scanning, 59.94P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.08;08;MPEG-2 HDV MP-H14 576x720 50P 4x3;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50P frame rate and 4x3 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.09;08;MPEG-2 HDV MP-H14 576x720 50P 16x9;Identifies MPEG-2 coded, HDV constrained 576x720 scanning, 50P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.10;08;MPEG-2 HDV MP-H14 720x1280 29.97P 16x9;Identifies MPEG-2 coded, HDV constrained 720x1280 scanning, 29.97P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.14;08;MPEG-2 HDV MP-H14 720x1280 25P 16x9;Identifies MPEG-2 coded, HDV constrained 720x1280 scanning, 25P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.15;08;MPEG-2 HDV MP-H14 720x1280 50P 16x9;Identifies MPEG-2 coded, HDV constrained 720x1280 scanning, 50P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.20;08;MPEG-2 HDV MP-H14 1080x1440 59.94I 16x9;Identifies MPEG-2 coded, HDV constrained 1080x1440 scanning, 59.94I frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.21;08;MPEG-2 HDV MP-H14 1080x1440 29.97P 16x9;Identifies MPEG-2 coded, HDV constrained 1080x1440 scanning, 29.97P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.22;08;MPEG-2 HDV MP-H14 1080x1440 23.98P 16x9;Identifies MPEG-2 coded, HDV constrained 1080x1440 scanning, 23.98P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.24;08;MPEG-2 HDV MP-H14 1080x1440 50I 16x9;Identifies MPEG-2 coded, HDV constrained 1080x1440 scanning, 50I frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Leaf;06.0E.2B.34.04.01.01.08;04.01.02.02.01.05.20.25;08;MPEG-2 HDV MP-H14 1080x1440 25P 16x9;Identifies MPEG-2 coded, HDV constrained 1080x1440 scanning, 25P frame rate and 16x9 picture aspect ratio;IEC61834-11(HDV);;
Node;06.0E.2B.34.04.01.01.09;04.01.02.02.01.06.00.00;09;MPEG-2 HP-ML;Identifies MPEG-2 High Profile, Main Level  coding;;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.06.02.00;09;MPEG-2 HP-ML I-Frame;Identifies MPEG-2 High Profile, Main Level, I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.06.03.00;09;MPEG-2 HP-ML Long GOP;Identifies MPEG-2 High Profile, Main Level, Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.06.04.00;09;MPEG-2 HP-ML No I-Frames;Identifies MPEG-2 High Profile, Main Level, No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.09;04.01.02.02.01.07.00.00;09;MPEG-2 HP-HL;Identifies MPEG-2 High Profile, High Level  coding;;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.07.02.00;09;MPEG-2 HP-HL I-Frame;Identifies MPEG-2 High Profile, High Level, I-Frame coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.07.03.00;09;MPEG-2 HP-HL Long GOP;Identifies MPEG-2 High Profile, High Level, Long GOP coding;ISO/IEC 13818-2;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.07.04.00;09;MPEG-2 HP-HL No I-Frames;Identifies MPEG-2 High Profile, High Level, No I-Frames coding;ISO/IEC 13818-2;;
Node;06.0E.2B.34.04.01.01.09;04.01.02.02.01.08.00.00;09;MPEG-2 HP-H14;Identifies MPEG-2 High Profile, High 1440 Level  coding;;;
Leaf;06.0E.2B.34.04.01.01.09;04.01.02.02.01.08.02.00;09;MPEG-2 HP-H14 I-Frame;Identifies MPEG-2 High Profile, High 1440 Level, I-Frame coding;ISO/IEC 13818-2;;
